years_before_present,co2_ppm,sigma
177786.5,190.1,3
179930,207.7,3
181359,213.2,3
182253,217.7,3
183315,198.1,3
184428,199.7,3
186468,203.4,3
188494,210.7,3
189863.5,231.3,3
191311.5,231.4,3
192021.08,220.3,3
193131.5,218,3
195183.5,226.5,3
195856.5,220,3
197644.35,226.4,3
198384.45,241.2,3
198995,242.6,3
201809,250.9,3
202801.5,239.1,3
203899,247.6,3
205260.28,244.4,3
205632.76,231.9,3
206001.58,232.2,3
206416.94,228.6,3
206953.85,226.3,3
207297.3,229.4,3
207679.89,231.4,3
208165.78,238.1,3
208331.53,237.2,3
208878.57,230,3
209139.26,240.5,3
209502.04,242.2,3
210023.09,244.6,3
210232.17,243.9,3
210889.07,247.2,3
211115.47,252,3
211634.84,246.9,3
212135.75,239.5,3
212590.08,257.4,3
213387.35,243.4,3
214215.81,251.2,3
215137.75,241.4,3
215969.34,240.3,3
216363.15,242.6,3
216921.97,247.5,3
217472.64,251.7,3
217751.96,251.1,3
218257.79,245.3,3
219124.61,240.5,3
220992.62,214.1,3
221754.46,216.1,3
222596.58,207.1,3
223186.04,208.8,3
224328.51,205.6,3
226316.83,203.3,3
226906.84,215.7,3
227776.98,235.5,3
228496.42,234.5,3
228823.99,233.1,3
229629.05,224.5,3
231186.66,232.4,3
232248.77,233.9,3
232913.06,241.6,3
236047.86,245.2,3
236483.01,252.1,3
236907.8,241.4,3
237448.66,247.4,3
237962.53,243.1,3
238482.34,239.1,3
239065.26,245.6,3
239444.04,245.8,3
239795.66,247.4,3
240247.37,252.8,3
241390.05,259.7,3
241912.4,263.2,3
242742.46,279,3
243195.52,280.2,3
244178.77,263.7,3
244639.34,252.3,3
245114.01,249.9,3
245621,236.7,3
246245.81,230.4,3
246927.49,219.4,3
249156.87,214.7,3
251447.57,200.2,3
252189.26,213.9,3
253010.72,195.4,3
253813.68,196.7,3
254644.11,195.4,3
256355.66,199,3
257117.59,201.9,3
257965.07,204,3
259453.9,203.9,3
260951.24,209.6,3
261350.92,205.7,3
262111.58,208.9,3
262874.1,214.6,3
264640.76,228.1,3
266191.45,199.9,3
267064,211.7,3
268314.83,188.7,3
269052.5,187.2,3
269997.47,194.2,3
271093.04,198.8,3
272206.64,184.7,3
273222.83,190.4,3
274221.08,193.9,3
275211.64,194.1,3
276314.72,198.4,3
277500,193.2,3
278647.91,202.2,3
279676.05,204.5,3
280615.95,211,3
281457.74,215.3,3
282649.89,223.7,3
284491.68,231.3,3
285988.32,228,3
286666.96,226.4,3
287500.86,231.4,3
287877.05,230.4,3
288343.43,231,3
290241.5,234.9,3
290920.79,220.4,3
291619.87,217.1,3
292875.31,207.6,3
293707.74,206,3
294512.29,206.7,3
295421.23,212.7,3
296885.87,213.1,3
298761.62,217.1,3
299433.28,224.4,3
300172.87,231,3
301082.62,236.1,3
302141.19,239,3
303173,236,3
304157.92,240.2,3
305156.81,240.7,3
305835.15,250.2,3
306638.12,248.6,3
307520.27,244.8,3
308382.7,225.8,3
309480.73,227.8,3
310067.98,226.2,3
310833.1,233.2,3
311727.03,237.8,3
312650.43,239,3
313400.13,241.9,3
314108.85,251.6,3
314893.21,256.7,3
315714.52,257.1,3
316507.72,246.8,3
317206.87,272.6,3
317989.55,251.6,3
318909.6,245.2,3
319886.66,233.4,3
320973.34,255.8,3
321874.45,249.2,3
323440.35,257.2,3
324223.92,260.4,3
325064.41,260.3,3
325880,260.5,3
326648.09,266.2,3
327492.84,264,3
328143.81,266.1,3
328827.75,270.1,3
329471.29,271.9,3
330110.33,275.1,3
331350.55,265,3
332201.12,271.7,3
332855.62,272.6,3
333557.09,273.1,3
334054.56,282.4,3
334406.5,289.1,3
334600.89,288.4,3
335159.31,298.6,3
335764.51,278.1,3
336434.54,285.8,3
336924.82,278.6,3
337573.67,270.5,3
338270.5,255.7,3
339048.44,241.9,3
340040.89,239.6,3
340792.08,234.2,3
342848.56,250.1,3
343980.59,200.7,3
345057.85,205.2,3
346377.91,204.8,3
347601.81,211.9,3
349196.09,220.3,3
351733.35,221.1,3
353231.6,216.2,3
354469.98,209.4,3
355874.77,209.2,3
359067.38,193,3
360740.84,186.1,3
362624.6,185.8,3
365247.23,201.2,3
368122.9,206.3,3
371442.87,201.9,3
373514.62,199.9,3
375261.6,214.7,3
377091.88,224.6,3
378817.24,229.6,3
382988.49,227,3
384614.45,240,3
386340.71,239.1,3
387881.82,246.8,3
389467.21,245.8,3
392344.25,258.1,3
393034.15,259.5,3
394060.69,273.6,3
394963.1,260.7,3
398332.13,276.3,3
399983.16,277.1,3
400767.08,283.2,3
402197.92,283.1,3
402916.84,275.7,3
404370.3,276.5,3
405119.63,280.5,3
406599.8,279.6,3
407339.5,285.6,3
408875.72,284.5,3
409655.24,274.7,3
410510.8,282.6,3
411404.97,283.5,3
413315.65,274.9,3
414267.86,264.9,3
415236.59,271.6,3
416002.61,276.4,1.6
416482.32,271.7,1.2
417497.44,273.4,1.5
418013.78,271.8,1.7
418562.3,274.6,1.8
419632.78,273.7,0.8
420190.76,271.2,1.5
420758.76,273.8,1.6
421969.15,268.6,1.4
422589.65,266.4,1.8
423282.5,270.6,1.1
424564.75,267.7,2.9
425189.26,268.3,1.9
425797.91,270.8,1.1
426294.27,270,2.5
426678.56,265.4,2
427211.96,255.3,1.3
427998.4,252.1,0.7
428897.2,248.2,0.9
429235.36,242.5,1.5
431080.76,219.7,1.7
432236.31,227.2,2.2
433907.3,211.5,1.7
434436.07,207.6,1.3
435996.69,209.8,1.6
437542.42,207.5,1.3
439120.42,200.3,1.6
440716.58,201.7,1.6
442287.78,201.3,1.1
443901.65,202,1.5
445388.73,199.1,1.1
447276.18,201.1,0.9
448516.18,203.5,0.6
449628.04,208.1,1.8
450699.89,201.7,1.7
451804.28,201.2,2.1
452792.84,204.9,1.4
453832.64,201.9,1.8
454921.31,198.4,1.3
456058.61,193.3,1.6
457171.44,192.5,1
457802.13,199.1,0.6
458265.29,204.3,1
458851.01,203.3,1
459268.55,208.3,1.4
460309.21,202.4,1.3
461343.06,195.5,0.8
462471.1,190.7,1.9
463583.65,194.4,0.7
464656.47,199.9,2.6
465322.36,205.2,0.9
465658.73,210,0.7
466689.3,208.1,2.2
467763.64,204.4,1.9
468934.71,203.4,1.2
470097.13,205.5,0.9
470782.98,206.5,0.9
471257.79,215.5,2.3
471881.53,218.7,0.9
472320.07,229.2,1.4
472920.27,232.7,0.7
473274.82,243.7,1.8
473857.85,243.9,1.1
474149.36,245.6,0.9
475031.11,241.2,1.7
475982.2,233.1,0.6
477006.8,232.8,1.1
477998,236.6,1
478949.46,239.1,0.9
479459.95,236.5,1.2
479832.69,231.3,1
480385.3,220.8,0.7
480783.68,218.8,2.3
481719.96,223.8,1.4
482637.96,223.4,1.7
483452.38,227.3,1.3
484236.79,231.4,1.1
484993.18,231.4,1.3
485724.52,231.2,1.2
486455.67,233,1.4
487186.25,232.9,1.2
487905.07,231.3,1.2
488622.45,237.1,1.8
489359.09,242,0.2
489776.79,240.9,0.4
490083.29,252.8,2.5
490551.91,249.3,2.7
490790.95,242.6,0.6
491508.08,243.3,1.3
492211.55,246.7,1.6
492920.78,243.7,1.4
493650.11,239.7,1.9
494357.39,239.1,1.2
495081.13,238.3,2
495782.69,238.5,1.4
496501.07,237.6,1.6
497244.63,236.4,2.1
498022.98,236.5,1.7
498794.42,232.8,0.8
499583.78,230.6,0.5
500361.78,230.8,1
501140.96,228.2,1.7
501918.42,230.8,1.4
502694.64,231.2,0.8
503475.93,232,1.6
504234.19,232.2,1.4
504968.78,234.1,0.8
505741.24,233.9,1.1
506540.73,235.5,1.8
507369.4,236,2.1
508174.72,238.2,0.9
508997.98,237,0.8
509841.98,240.3,0.7
510709.33,233.4,1
511569.45,236.4,1.4
512420.78,235.2,0.5
513261.74,242,0.8
514090.12,238.2,1
514904.78,239.2,1.2
515707.78,241.5,1.3
516477.98,243,0.5
517211.98,247.2,2.2
517933.01,246.2,2.6
518657.46,245.5,1.1
519386.13,245.3,1.3
520130.36,247.7,1.4
520878.81,245.5,0.8
521631.47,243.5,0.7
523858.82,241.9,1.4
524627.87,236.8,0.8
525394,235.8,1.2
526164,233.7,0.7
526952.81,230.3,0.8
527755.69,227.8,0.6
528573.69,224.7,1.9
529460.43,222.7,1
530347.51,221.2,1.2
531258.38,220.3,0.5
532135.76,220.7,0.9
532649.53,214.5,0.5
533044.57,211.4,2.2
533611.37,204.4,0.6
533989.24,200,0.8
534725.18,195.1,0.7
535100.56,193.8,0.8
535752.05,190.5,1.7
536235.47,199.8,1.2
537391.47,199.4,0.8
538497.76,205,0.9
539570.82,206.4,0.7
540640.82,212.9,1.3
541710.82,211.2,0.7
542797.21,205,0.8
543901.87,203.6,1.2
544942.99,208.1,0.8
545921.91,210.3,1.6
546887.15,209.6,1.6
547863.68,209.7,0.8
548827.78,204.6,1.9
549777.11,202.5,1.6
550287.73,208.8,0.7
550639.55,213.6,0.9
551438.09,215.2,0.5
552168.09,219.9,0.5
552738.56,221.7,1.4
553077.92,222.3,0.9
553302.99,226.3,0.9
553676.39,222.1,1.1
553865.65,220.3,0.3
554536.62,223.6,1.1
555215.35,224.3,2.2
555899.35,226.7,1.2
556464.02,233.9,1.5
556980.29,241,1.4
557255.65,243,0.8
557442.05,249.1,2.1
557714.14,244,1.5
557895.21,250.5,0.8
558211.56,245.6,1.3
558363.02,240.4,0.9
558834.69,238.1,1.2
559373.01,234.5,1
559693.76,229.7,0.4
559929.62,230.2,0.7
560493.62,230.3,1.5
561022.6,228.3,0.9
561507.74,231.6,1.2
561945.07,231.9,1.2
562367.49,234.6,1.5
562712.6,234.1,0.9
563191.85,240.1,2.1
563592.74,242.3,0.5
563984.9,245.7,1.8
564367.56,245.8,0.5
564781.36,247.6,1.5
565191.3,251.4,1.7
565595.96,252.4,1.7
565952.64,252.6,1
566302.3,251.4,0.7
566645.64,253.7,0.8
566975.35,254.3,1.6
567296.49,253.9,0.7
567605.65,254.5,1.6
567941.89,253.2,0.9
568261.14,253.9,1.2
568591.24,252.8,1.1
568987.15,253,0.6
569371.59,250.2,0.4
569740.93,251.3,1.3
570124.25,250,1.3
570520.46,251.3,1.3
570919.13,251.8,1.2
571318.44,251.8,1.3
571690.36,249.6,0.5
572031.69,251.6,1.7
572372.5,250.3,1.04
572726.87,246.31,1.15
573110.52,247.66,0.68
573532.75,249.19,1.08
573970.02,248.72,0.39
574421.65,251.77,1.78
574863,251.86,0.7
575290.96,252.08,1.3
575711.53,248.86,0.98
576169.85,252.54,0.52
576656.1,252.9,1.06
577172.1,251.3,1.06
577710.85,251.34,1.13
578253.35,251.08,0.6
578799.35,249.06,0.48
579337.55,252.92,1.07
579890.12,251.47,1.8
580267.5,244.14,1.67
580458.78,243.81,0.87
580871,236.17,0.3
581175.65,230.26,0.57
581603.53,225.21,1.57
581985.3,219.41,0.81
582511.53,215.45,1.07
582893.3,209.88,1.18
583631.25,206.68,0.51
584015.8,210.64,0.64
586777.84,223.96,0.87
587228.85,225.99,1.45
587945.67,234.4,0.5
588336.35,238.78,0.98
588997.9,246.35,1.8
589482.35,250.2,0.4
590097.15,248.1,0.56
590545.8,243.56,0.76
591076.47,237.38,0.75
592440.47,225.68,1.13
592842.52,229.39,1.25
593618.25,233.16,0.28
594103.75,238.15,0.89
594920.81,237.98,1.05
595493.47,232.92,0.6
596278.56,221.22,1.77
596848.13,216.44,0.91
597860.61,216.27,1.48
598386.75,219.02,1
599275.22,225.97,1.14
599871.63,229.38,1.39
601312.15,232.45,1.3
602657.75,237.86,0.79
604006.15,239.14,1.09
605360.15,244.53,0.7
606682.91,248.48,1.68
608036.3,254.58,1.22
609304.3,259.22,1.82
610486.5,257.74,0.46
611608.01,257.82,2.11
611657.63,259.68,1.16
612818.97,258.14,1.41
613999.8,256.19,0.39
615197.6,252.75,1.06
616356.12,252.9,0.62
616413.6,252.73,0.94
617666.57,252.64,1.06
619010.75,248.29,1
620340.75,245.89,0.29
621708.45,243.53,0.81
623007.73,243.89,2.84
623111.95,239.19,0.83
624553.95,237.93,1.02
625454.92,235.02,0.35
626104.5,228.51,0.88
627026.43,215.71,0.48
627887.1,205.76,0.94
629196.62,199.52,0.77
629826.85,205.27,0.87
629923.1,200.78,0.5
631583.32,200.46,1.81
632413.94,196.5,1.51
634134.54,193.1,1.55
634938.14,195.95,1.53
635066.03,194.86,1.76
636578.56,194,0.66
637771.37,195.33,1.85
639475.27,188.85,0.96
640429.25,190.18,0.5
642131.6,191.38,1.05
642913.65,191.56,1.13
644357.83,195.31,1.25
645207.65,195.82,0.95
646433.95,189.89,2.02
647311.85,191.85,1
648669.42,193.48,0.74
649248.1,196.17,0.44
650405.46,189.25,1.22
651004.1,193.44,0.71
652161.26,187.27,0.54
652765.95,186.79,0.97
653787.25,192.87,1.85
654495.65,194.82,0.98
655581.35,200,0.53
656189.65,200.35,0.75
657238.09,192.93,0.65
657711.21,189.23,1.78
657779,190.88,0.87
658821.1,184.1,0.29
659350.82,187.38,1.06
659468.9,185.68,0.41
660520.55,188.43,0.95
661175.32,193.97,0.99
661272.9,191.59,0.77
662339.18,189.69,1.52
662853.61,193.91,2.12
662934.55,190.86,1.02
663994.52,191.02,1.2
664377.4,192.55,1.3
664465.09,187.77,0.83
665378.94,180.17,1.12
665893.52,180.54,1.12
666810.36,174.77,1.04
667466.86,173.71,1.38
668472.26,177.71,0.68
668972.54,180.67,0.71
669876.3,187.66,0.18
670353.32,191.51,0.92
671127.75,194.88,0.97
671514.93,196.83,0.69
672207.88,194.79,0.58
672818.38,197.13,0.99
673753.11,201.12,1
674286.38,204.67,0.73
675085.4,211.69,0.58
675463.53,216.12,0.81
676587.74,222.57,0.76
677209.31,219.96,0.61
677657.74,216.59,0.93
678385.18,218.21,1.38
678798.62,220.09,1.52
679512.37,229.16,0.81
679792.17,232.7,0.9
680369.58,233.61,0.55
680684.61,233.11,1.16
681282.67,225.81,1.21
681726.93,227.9,1.32
682400.71,221.31,0.89
682797.09,219.14,0.95
683514.86,220.24,1.68
683885.75,222.7,0.6
684480.68,225.64,1.65
684815.06,224.36,1.29
685351.84,221.82,0.77
685736.87,220.62,0.7
686326.11,220.63,1.39
686638.81,222.62,1.05
687211.04,222.7,1.05
687502.5,222.97,1.24
688057.38,226.73,1
688357.13,227.65,1.34
688866.87,227.64,1.14
689214.83,230.67,1.66
689750.26,232.07,1.29
690008.45,232.27,1.49
690531.65,235.8,0.99
690793.39,236.45,0.53
691278.83,239.29,1.05
691524.67,238.42,1.24
692024.96,239.38,1.95
692375.34,243.56,0.56
692889.46,239.3,1.27
693134.09,238.47,2.15
693631.04,243.7,2.1
693878.29,237.76,0.84
694337.35,239.34,0.99
694593.82,240.46,0.71
695006.14,239.31,0.91
695316.26,239.8,1.42
695789.31,236.8,0.57
696038.88,238.74,1.46
696491.89,238.05,1.52
696701.83,238.13,1.28
697147.29,239.44,0.96
697399.45,238.42,1.11
697803.68,239.88,1.27
698096,241.03,0.79
698562.54,240.9,1.92
698810.23,241.83,0.73
699272.75,238.86,1.02
699496.02,239.01,0.65
699921.71,239.73,0.8
700160.69,237.21,0.55
700542.02,236.72,0.65
700871.84,236.61,0.48
701325.53,235.42,0.97
701581.52,232.46,0.54
702050.15,230.88,1.02
702257.92,232.16,0.75
702791.27,232.18,1.62
703066.98,230.59,0.26
703525.52,233.35,1.26
703853.07,232.28,1.12
704307.52,232.83,0.52
704638.81,233.54,1.36
705110.34,234.04,0.46
705300.91,235.09,1.68
705783.95,237.18,1.33
706110.2,237.66,1.57
706549.95,236.05,1.75
706767.74,236.05,0.93
707367.7,238.85,0.8
707700.73,233.51,1.46
708256.68,233.58,1
708470.45,233.11,1.01
709016.15,234.84,1.15
709510.79,231.43,0.86
709966.55,230.51,0.99
710513.45,227.03,0.73
711040.36,224.9,0.62
711456.04,225.39,0.29
712078.47,224.12,1.49
712300.73,224,1.45
713369.5,223.89,0.47
714122.58,227.64,1.61
714460.8,227.08,2.01
715172.73,223.14,0.59
715622.38,227.58,0.55
716367.16,213.6,0.66
716642.91,210.51,1.65
717405.27,198.43,1.17
718012.48,189.88,1.13
718835.35,193.46,1.64
719344.18,200.82,0.75
720144.29,212.03,0.84
720647.76,217.04,0.9
721464.52,219.2,1.18
721746.86,218.96,1.27
722562.81,216.1,2.02
723051.59,212.11,0.69
723837.23,212.55,1.77
724199,214.01,1.19
725032.36,210.48,0.37
725531.43,211.49,1.28
726306.59,211.08,1.07
726633.86,211.43,0.77
727955.5,210.07,1.62
728650.9,210.24,0.83
729044.53,211.08,0.78
729893.94,210.01,1.01
730317.31,212.17,1.72
730965.31,210.16,0.69
731241.23,210.7,0.34
731918,211.62,0.36
732378.75,213.73,1.89
733050.5,208.11,1.24
733386,207.72,0.81
734079.23,210.6,1.03
734519.62,216.15,1.81
735191.57,214.66,0.71
735466.91,217.88,0.83
736164.31,217.19,1.38
736579.22,213.14,1.66
737326.82,206.92,1.56
737717.12,204.52,1.49
738637.99,191.74,0.93
739231.56,185.61,0.33
740163.45,185.4,2.38
740517.92,183.39,2.4
741386.9,184.77,2.07
741931.13,189.14,1.31
742701.75,188.65,2.71
743119.17,187.33,0.72
744016.08,188.18,0.91
744580.14,188.97,0.9
745728.05,187.29,1.24
746676.93,190.24,0.42
747234.04,187.92,0.32
747997.2,187.95,1.27
748393.88,187.54,0.84
749319.93,188.68,1.26
749871.18,190.17,1.76
750763.44,192.08,1.57
751093.25,191.3,1.38
752030.87,193.55,1.88
752622.88,197.5,1.3
753546.07,195.43,0.34
753991.65,203.9,1.84
755171.58,199.05,1.7
755643.83,203.3,1.53
756623.17,208.1,1.96
756907.68,209.45,1.36
757842.45,213.61,2.15
758419.42,218.35,2.34
759192.69,222.72,1.5
759618.88,226.94,1.42
759935.21,223.02,0.68
760165.27,225.37,1.75
760573.06,225.62,2.33
760996.94,222.71,1.23
761921.49,216.64,0.75
762223.04,214.69,1.12
763158.8,214,1.86
763827.58,219.95,0.23
764733.88,223.89,2.06
765238.82,222.93,0.92
765643.64,233.66,3.05
765908.48,229.41,2.67
766245.5,232.12,1.38
766865.91,230.62,0.89
767804.16,224.86,1.56
768174.26,223.82,0.51
769118.38,221.64,0.41
769708.42,225.87,0.95
770656.15,230.63,2.11
771077.67,229.56,1.8
771576.33,236.32,1.64
771869.67,234.24,1.61
772232.26,239.71,1.87
772531.56,243.89,1.1
772794.96,246.49,2.17
773052.64,243.85,2.09
773306.82,246.03,2.45
773741.47,237.78,1.51
774101.14,239.23,1
775015.81,238.39,2.26
775595.01,241.74,0.87
776389.26,245.32,0.36
776839.7,248.92,0.63
777738.75,247.3,2.01
778289.79,252.46,0.67
779114.98,254.93,0.48
779424.55,254.69,1.13
780245.92,254.43,2.36
780776.44,252.52,0.93
781619.83,257.21,0.6
781943.68,251.51,0.7
782785.45,257.44,0.65
783255.53,255.02,1.06
784318.76,260.92,2.51
785091.08,255.85,0.66
785576.05,259.66,0.24
786246.6,262.23,2.57
786620.26,264.35,1.38
787412.51,269.36,1.26
787860.57,266,0.73
788536.24,257.2,1.52
788748.87,257.02,2.69
789551.04,238.64,0.78
790010.01,235.49,2.99
790696.41,227.38,0.84
791113.88,230.55,1.77
792087.78,224.69,3.67
792674.3,214.45,2.53
793576.39,213.36,1.6
793909.76,218.39,1.93
795179.45,208.79,1.67
795744.32,204.62,1.99
796909.59,198.79,2.1
797435.82,197.91,1.42
798738.3,200.49,2.19
801293.06,198.68,1.74
802929.09,198.66,0.98
803766.25,202.65,1.04
803982.28,202.92,2.06
804066.87,207.5,0.92
804579.67,204.86,1.64
805189.44,202.23,0.69
805725.87,207.29,2.2
0,413.43,0
