years_before_present,co2_ppm,sigma
5414.55,265.3,1.7
5590.29,265.2,0.8
5638.3,267.6,2
5814.61,265.9,0.9
5909.26,265.5,0.8
5991.09,260.7,1.6
6056.38,266.7,0.9
6146.81,265.5,0.8
6358.96,263.2,0.6
6394.21,262.7,0.9
6458.24,261.2,0.7
6629.29,261.1,0.4
6739.55,259.4,0.6
6826.65,262.1,0.9
6937.31,262.9,0.5
7027.08,258.1,1.4
7095.27,257.6,0.9
7245.07,262.3,0.9
7331.01,263,0.7
7462.32,260.7,0.6
7554.87,258.4,0.8
7718.37,260.1,0.6
7776.59,260.4,0.4
7917.18,259.7,0.9
7983.37,259.2,0.7
8032.85,260.8,1.4
8173.28,259.6,0.5
8251.8,259.3,0.9
8408.88,258.3,1.2
8516.68,261.3,0.9
8603.58,260.7,0.4
8767.68,261.8,1
8838.28,259,1.1
8968.85,260.9,0.7
9049.99,260.4,0.6
9117.17,259.3,1
9200.01,262,0.8
9352.31,263.7,1.2
9418.12,263.8,0.8
9493.7,265.2,0.9
9575.06,260.6,1.7
9581.44,260.9,0.6
9612.86,263,0.4
9630.27,263.8,1.2
9958.04,264.4,0.4
10049.61,264.2,0.9
10191.5,264,0.3
10249.95,263.4,0.1
10356.55,265.7,0.5
10423.56,264.9,0.4
10562.55,267.5,0.4
10737.48,266.9,0.6
10858.81,266,1.1
10892.74,265.1,1.6
11011.48,267.6,0.7
11146.62,264.8,0.6
11218.06,264.8,0.4
11242.87,265,0.8
11257.58,265.3,0.4
11313.57,264.4,1.5
11373.98,264.1,0.7
11396.37,264.81,1.67
11440.16,264.84,1.29
11456.86,268.16,2.55
11474.45,264.48,2.04
11492.93,270.14,2.11
11510.06,268.87,0.7
11529.8,269.1,2.52
11547.45,267.17,0.85
11564.23,267.66,1.15
11580.93,269.51,0.85
11600.6,266.9,0.66
11616.61,262.74,1.42
11633.41,267.09,0.5
11649.24,260.7,0.29
11668.31,261.3,1.52
11685.97,266.22,2.41
11704.92,257.13,1.34
11721.54,247.55,0.34
11739.82,254.62,0.88
11758.44,253.99,1.46
11776.72,256.04,1.26
11797.65,255.89,1.4
11816.21,258.74,1.48
11837.72,258.25,0.33
11859.79,258.53,1.78
11877.5,257.17,1.48
11900.33,254.31,1.34
11920.12,253.63,1.59
11940.17,251.56,0.58
11961.91,255.9,1.16
11983.96,258.57,5.26
12005.09,248.92,2.04
12026.55,253.99,1.3
12047.69,255.39,1.39
12072.9,247.85,1.45
12094.32,248.41,0.35
12115.8,253.1,0.7
12136.85,251.03,2.57
12162.25,255.66,1.99
12181.58,253.02,0.87
12203.5,251.14,1.41
12225.48,251.42,0.85
12247.41,250.97,0.73
12268.34,249.65,1.23
12289.92,249.23,1.6
12313.48,248.95,1.48
12337.77,249.38,1.33
12358.04,248.92,0.29
12378.28,250.73,1.37
12400.12,246.97,0.76
12422.28,244.31,1.16
12445.31,243,1.21
12466.38,246.4,1.45
12488.93,247.67,0.82
12511.82,245.83,0.56
12532.39,246.18,0.79
12552.84,244.42,1.18
12578.35,246.74,1.29
12600.72,249.92,1.72
12621.62,244.27,1.21
12643.6,247.02,0.27
12664.64,248.09,1.18
12686.85,246.94,0.45
12710.64,243.95,1.68
12730.9,242.53,0.96
12754.14,244.24,0.96
12776.8,241.59,1.07
12796.91,247.3,0.41
12819.58,240.02,1.12
12842.63,241.5,2.09
12866.27,242.23,1.95
12887.15,242.15,1.34
12909.71,239.35,1.29
12930.98,241.24,1.3
12950.38,239.44,0.79
12974.11,238.79,1.12
12996.23,238.18,2.82
13016.75,240.71,0.95
13037.88,237.15,0.81
13058.06,239.42,2.09
13078.92,234.68,0.19
13100.69,238.86,1.94
13123.59,237.91,2.24
13145.22,241.56,1.16
13185.45,234.82,0.11
13229.67,236.91,0.96
13273.2,239.41,0.69
13323.97,240.42,0.15
13361.15,236.86,0.34
13475.1,237.83,1.87
13543.74,240.25,1.41
13588.75,235.83,0.4
13657.81,243.86,0.12
13702.35,238.55,0.46
13769.83,241.59,1.23
13815.73,241.11,2.22
13884.2,239.08,0.1
13928.57,237.95,0.85
13997.23,240.57,0.57
14058.79,235.92,1.04
14079.86,237.87,1.09
14117.09,241.27,1.17
14141.47,232.88,1.52
14177.06,236.4,0.13
14213.6,239.24,0.42
14236.55,239.36,0.81
14262.56,238.36,1.89
14294.45,236.6,1.19
14330.02,240.21,1.33
14355.72,239.04,0.22
14365.61,235.8,1.1
14400.16,242.08,1.09
14411.48,238.39,0.49
14431.99,240.33,1.05
14467.6,242.55,1.42
14479.23,242.6,1.76
14500.28,240.95,0.35
14520.58,238.61,0.77
14554.21,242.06,2.25
14577.85,241.14,1.27
14588.3,243.17,0.81
14598.66,235.83,0.56
14609.93,241.73,0.42
14620.52,239.86,1.46
14632.93,239.77,1.74
14643.19,237.97,1.14
14652.47,235.31,0.61
14663.21,237.59,0.85
14676.39,237.97,0.76
14686.99,240.1,1.12
14702.2,238.12,0.6
14709.26,234.62,0.39
14721.09,233.42,0.29
14732.12,234.34,1.04
14743.37,237.49,0.29
14753.69,228.91,0.44
14763.96,228.18,0.77
14775.12,230.53,1.1
14787.88,234.54,1.23
14800.19,231.48,1.1
14815.52,227.9,0.75
14820.41,224.64,0.78
14833.28,227.39,1.12
14844.83,227.79,0.23
14856.14,228.5,1.02
14867.61,227.58,0.43
14879.39,226.51,0.7
14891.75,228.4,0.01
14901.77,227.87,0.41
14914.53,233.17,1.47
14926.18,232.22,0.59
14937.66,227.85,1.11
14949.46,230.63,1.24
14961.21,228.72,0.54
14972.91,228.36,0.53
14986.02,228.47,0.34
15010.66,228.89,1.23
15033.48,229.79,2.09
15044.26,227.65,1.22
15068.48,228.37,1.02
15091.78,225.38,0.84
15129.53,228.99,0.24
15152.81,234.47,0.02
15190.53,229.67,0.63
15213.52,228.81,0.89
15238.11,227.84,1.04
15275.88,230.18,0.33
15300.44,228.27,1.21
15337.74,225.77,0.92
15377.94,227.64,1.42
15402.24,228.92,0.96
15439.85,225.39,1.57
15467.08,224.74,0.75
15519.93,223.27,1.38
15603.4,223.53,0.35
15706.43,222.76,1.37
15761.79,222.16,0.57
15824.68,224.86,1.87
15901.95,222.36,0.44
15977.25,223.51,0.65
15993.52,223.77,0.64
16052.49,223.72,2.06
16055.98,224.41,0.18
16071.67,222.39,0.89
16090.78,224.48,1.43
16140,224.24,0.82
16171.14,222.41,1.31
16208.21,224.86,1.02
16223.71,226.19,0.07
16244.46,221.49,1.18
16265.71,227.32,1.21
16279.96,223.24,0.55
16297.56,220.49,1.06
16317.73,218.56,0.97
16335.74,214.22,0.59
16353.96,212.84,0.75
16374.43,214.6,0.6
16394.25,212.43,1.19
16411.23,214.83,1.2
16431.89,211.21,0.5
16448.89,209.51,0.82
16467.71,212.95,0.94
16488.32,211.79,1.81
16515.38,217.19,0.28
16529.03,213.94,1.11
16566.93,207.95,0.12
16610.51,208.65,0.52
16647.01,208.46,0.84
16712.88,213.15,0.81
16790.53,210.25,1.1
16854.55,205.53,0.96
16926.32,205.19,0.96
16985.83,202.93,0.68
17051.77,204.32,1.09
17148.85,202.1,1.05
17220.7,198.63,1.3
17293.25,198.29,0.78
17344.9,195.88,0.5
17368.87,194.65,0.27
17417.5,190.5,0.91
17442.3,193.02,0.39
17467.03,191.89,0.27
17491.97,190.76,0.47
17517.99,193,0.46
17542.29,191.48,0.5
17567.87,191.59,0.05
17591.59,192.37,0.61
17618.46,192.62,0.3
17643.25,196.96,0.86
17669,195.79,0.24
17694.88,193.21,1.23
17722.06,194.38,0.56
17748.21,191.52,1.33
17774.05,189.52,0.56
17800.75,190.41,0.24
17826.71,191.7,0.33
17854.57,187.25,0.66
17882.43,191.21,1.24
17911.6,189.52,0.72
17938,190.26,1.19
17964.16,191.72,0.26
17992.99,188.54,0.98
18022.83,188.66,0.1
18049.04,188.96,0.64
18081.45,187.79,1.1
18107.09,187.73,0.5
18138.6,188.64,0.47
18167.63,188.59,1.48
18196.76,184.88,0.23
18230.16,189.01,1.13
18258.79,185.65,0.95
18289.18,188.88,0.47
18321.68,188.52,1.16
18352.81,189.03,0.19
18381.39,187.12,0.84
18417.35,188.73,0.18
18448.16,188.21,1.16
18479.43,188.47,0.75
18514.83,187.45,1.07
18543.59,187.09,0.7
18576.99,187.67,0.14
18639.94,188.57,0.62
18734.4,193.9,0.5
18804.05,191.27,1.01
18860.64,192.97,1.1
18892.15,188.44,0.82
18923.91,188.5,0.53
19050.82,192.71,1.75
19209.79,191.09,1.12
19339.16,191.58,0.84
19499.73,191.52,1.3
19625.15,188.95,0.25
19686.49,191.42,0.59
19848.19,193.6,0.53
19940.88,196.06,0.42
20075.7,193.72,0.75
20270.31,190.47,1.21
20464.6,189.99,0.65
20593.8,193.93,0.69
20723.49,187.76,0.93
20885.39,192.66,1.09
21021.43,190.87,0.82
21124.69,188.4,0.87
21269.7,190.05,0.07
21402.18,187.24,1.16
21619.85,185.23,0.31
21847.59,187.96,0.22
21970.63,190.78,0.95
22112.59,187.38,1.55
22287.89,191.27,0.99
22349.2,187.22,0.45
22404.6,187.02,1.25
22607.1,184.68,0.2
22661.1,185.21,1.63
22707.8,188.49,0.23
22806.3,190.01,0.25
22890.6,186.13,0.13
23051,189.4,1.13
23070.8,190.53,0.64
23164.3,190.08,0.82
23242,188.6,0.87
23333.7,197.67,1.29
23415.4,193.53,1.72
23502.2,186.78,0.46
23657.5,187.99,0.41
23930.8,183.13,0.03
24134.7,184.68,0.62
24326.8,186.73,0.92
24700.6,180.57,2.72
25220.6,180.69,0.78
25408.1,182.66,0.08
25600.6,183.38,0.62
25843,186.54,0.58
26073,184.52,0.41
26311.5,184.57,0.52
26372,183.77,0.53
26517.7,186.01,0.81
26594.1,185.51,0.53
26760.7,185.44,0.33
26914.8,186.43,0.22
27011.9,188.08,0.8
27099,187.39,0.21
27141.8,186.27,0.06
27227.2,194.93,0.48
27337.1,190.06,0.47
27498.9,191.95,0.84
27559.8,191.23,1.92
27606.7,191.53,1.94
27643.4,191.95,0.38
27718.3,191.46,0.69
27744,192.71,0.08
27771.1,190.61,1.64
27775.6,189.3,0.32
27877.7,187.59,0.87
27923.4,190.58,0.49
